ID_Avaliacao;ID_Funcionario;Periodo;Nota_Geral;Competencia_Avaliada;Meta_Atingida_Pct;Avaliador_ID;Observacao;Ano;Semestre;Data_Referencia
AV-000023;FUNC-0006;2024-S1;2,3;Proatividade;68,0;FUNC-0014;Em desenvolvimento;2024;1;2024-06-30
AV-000024;FUNC-0006;2024-S2;2,5;Conhecimento Técnico;102,4;FUNC-0060;Dentro do esperado;2024;2;2024-12-31
AV-000025;FUNC-0007;2022-S1;4,2;Proatividade;81,4;FUNC-0032;Ótima colaboração com o time;2022;1;2022-06-30
AV-000026;FUNC-0007;2022-S2;4,9;Proatividade;94,9;FUNC-0042;Ótima colaboração com o time;2022;2;2022-12-31
AV-000027;FUNC-0007;2023-S1;4,4;Trabalho em Equipe;89,9;FUNC-0042;Sem observação registrada;2023;1;2023-06-30
AV-000028;FUNC-0007;2023-S2;4,8;Trabalho em Equipe;90,1;FUNC-0017;Sem observação registrada;2023;2;2023-12-31
AV-000029;FUNC-0007;2024-S1;4,5;Conhecimento Técnico;92,1;FUNC-0051;Ótima colaboração com o time;2024;1;2024-06-30
AV-000030;FUNC-0007;2024-S2;4,6;Trabalho em Equipe;88,8;FUNC-0031;Superou expectativas;2024;2;2024-12-31
AV-000031;FUNC-0008;2022-S1;4,1;Liderança;78,5;FUNC-0005;Superou expectativas;2022;1;2022-06-30
AV-000032;FUNC-0008;2022-S2;4,6;Liderança;119,8;FUNC-0060;Em desenvolvimento;2022;2;2022-12-31
AV-000033;FUNC-0008;2023-S1;4,1;Entrega de Resultados;76,2;FUNC-0022;Precisa evoluir em gestão do tempo;2023;1;2023-06-30
AV-000034;FUNC-0008;2023-S2;3,7;Liderança;90,5;FUNC-0026;Em desenvolvimento;2023;2;2023-12-31
AV-000035;FUNC-0008;2024-S1;4,4;Conhecimento Técnico;102,4;FUNC-0027;Superou expectativas;2024;1;2024-06-30
AV-000036;FUNC-0008;2024-S2;3,7;Proatividade;117,0;FUNC-0011;Superou expectativas;2024;2;2024-12-31
AV-000037;FUNC-0009;2022-S1;4,3;Liderança;103,5;FUNC-0046;Ótima colaboração com o time;2022;1;2022-06-30
AV-000038;FUNC-0009;2022-S2;4,2;Proatividade;102,7;FUNC-0058;Sem observação registrada;2022;2;2022-12-31
AV-000039;FUNC-0009;2023-S1;4,0;Trabalho em Equipe;99,4;FUNC-0034;Sem observação registrada;2023;1;2023-06-30
AV-000040;FUNC-0009;2023-S2;4,0;Liderança;99,5;FUNC-0042;Superou expectativas;2023;2;2023-12-31
AV-000041;FUNC-0009;2024-S1;4,1;Conhecimento Técnico;106,9;FUNC-0027;Ótima colaboração com o time;2024;1;2024-06-30
AV-000042;FUNC-0009;2024-S2;3,9;Entrega de Resultados;103,4;FUNC-0043;Entrega consistente;2024;2;2024-12-31
AV-000043;FUNC-0010;2024-S1;3,2;Trabalho em Equipe;122,6;FUNC-0001;Dentro do esperado;2024;1;2024-06-30
AV-000044;FUNC-0011;2022-S1;3,4;Orientação ao Cliente;133,8;FUNC-0008;Entrega consistente;2022;1;2022-06-30
AV-000045;FUNC-0011;2022-S2;3,0;Entrega de Resultados;109,4;FUNC-0025;Em desenvolvimento;2022;2;2022-12-31
AV-000046;FUNC-0011;2023-S1;3,6;Liderança;88,8;FUNC-0059;Sem observação registrada;2023;1;2023-06-30
AV-000047;FUNC-0011;2023-S2;2,9;Orientação ao Cliente;94,1;FUNC-0028;Dentro do esperado;2023;2;2023-12-31
AV-000048;FUNC-0011;2024-S1;3,8;Entrega de Resultados;79,3;FUNC-0033;Em desenvolvimento;2024;1;2024-06-30
AV-000049;FUNC-0012;2023-S1;5,0;Trabalho em Equipe;69,9;FUNC-0017;Ótima colaboração com o time;2023;1;2023-06-30
AV-000050;FUNC-0012;2023-S2;4,8;Entrega de Resultados;106,0;FUNC-0033;Em desenvolvimento;2023;2;2023-12-31
AV-000051;FUNC-0012;2024-S1;3,9;Conhecimento Técnico;94,3;FUNC-0054;Sem observação registrada;2024;1;2024-06-30
AV-000052;FUNC-0012;2024-S2;4,0;Entrega de Resultados;95,7;FUNC-0016;Em desenvolvimento;2024;2;2024-12-31
AV-000053;FUNC-0013;2022-S1;5,0;Entrega de Resultados;122,3;FUNC-0016;Precisa evoluir em gestão do tempo;2022;1;2022-06-30
AV-000054;FUNC-0013;2022-S2;5,0;Orientação ao Cliente;131,6;FUNC-0005;Precisa evoluir em gestão do tempo;2022;2;2022-12-31
AV-000055;FUNC-0013;2023-S1;5,0;Proatividade;83,3;FUNC-0055;Dentro do esperado;2023;1;2023-06-30
AV-000056;FUNC-0013;2023-S2;5,0;Proatividade;82,8;FUNC-0047;Superou expectativas;2023;2;2023-12-31
AV-000058;FUNC-0014;2023-S2;2,5;Entrega de Resultados;106,4;FUNC-0015;Dentro do esperado;2023;2;2023-12-31
AV-000059;FUNC-0014;2024-S1;2,8;Entrega de Resultados;99,4;FUNC-0028;Precisa evoluir em gestão do tempo;2024;1;2024-06-30
AV-000060;FUNC-0014;2024-S2;2,7;Orientação ao Cliente;70,6;FUNC-0015;Superou expectativas;2024;2;2024-12-31
AV-000061;FUNC-0015;2022-S1;3,8;Orientação ao Cliente;126,4;FUNC-0037;Dentro do esperado;2022;1;2022-06-30
AV-000062;FUNC-0015;2022-S2;4,0;Conhecimento Técnico;64,4;FUNC-0047;Em desenvolvimento;2022;2;2022-12-31
AV-000063;FUNC-0015;2023-S1;3,4;Entrega de Resultados;109,8;FUNC-0048;Em desenvolvimento;2023;1;2023-06-30
AV-000064;FUNC-0015;2023-S2;3,5;Trabalho em Equipe;123,2;FUNC-0051;Dentro do esperado;2023;2;2023-12-31
AV-000065;FUNC-0015;2024-S1;3,6;Proatividade;70,2;FUNC-0045;Sem observação registrada;2024;1;2024-06-30
AV-000066;FUNC-0015;2024-S2;2,8;Orientação ao Cliente;114,0;FUNC-0019;Precisa evoluir em gestão do tempo;2024;2;2024-12-31
AV-000067;FUNC-0017;2022-S2;3,5;Orientação ao Cliente;125,2;FUNC-0006;Entrega consistente;2022;2;2022-12-31
AV-000068;FUNC-0017;2023-S1;3,6;Proatividade;75,3;FUNC-0051;Ótima colaboração com o time;2023;1;2023-06-30
AV-000069;FUNC-0017;2023-S2;4,2;Proatividade;84,6;FUNC-0041;Entrega consistente;2023;2;2023-12-31
AV-000070;FUNC-0017;2024-S1;4,2;Entrega de Resultados;70,9;FUNC-0028;Superou expectativas;2024;1;2024-06-30
AV-000071;FUNC-0018;2024-S1;3,2;Proatividade;98,7;FUNC-0060;Superou expectativas;2024;1;2024-06-30
AV-000072;FUNC-0018;2024-S2;3,2;Orientação ao Cliente;124,3;FUNC-0056;Sem observação registrada;2024;2;2024-12-31
AV-000073;FUNC-0019;2024-S2;3,5;Conhecimento Técnico;87,3;FUNC-0057;Sem observação registrada;2024;2;2024-12-31
AV-000074;FUNC-0020;2022-S1;3,8;Liderança;126,0;FUNC-0006;Em desenvolvimento;2022;1;2022-06-30
AV-000075;FUNC-0020;2022-S2;4,4;Comunicação;107,9;FUNC-0013;Sem observação registrada;2022;2;2022-12-31
AV-000076;FUNC-0020;2023-S1;3,6;Conhecimento Técnico;40,6;FUNC-0031;Ótima colaboração com o time;2023;1;2023-06-30
AV-000077;FUNC-0020;2023-S2;4,2;Orientação ao Cliente;76,3;FUNC-0026;Sem observação registrada;2023;2;2023-12-31
AV-000078;FUNC-0020;2024-S1;3,9;Entrega de Resultados;85,0;FUNC-0045;Precisa evoluir em gestão do tempo;2024;1;2024-06-30
AV-000079;FUNC-0020;2024-S2;4,1;Proatividade;102,8;FUNC-0044;Sem observação registrada;2024;2;2024-12-31
AV-000080;FUNC-0021;2022-S1;4,0;Liderança;113,2;FUNC-0026;Sem observação registrada;2022;1;2022-06-30
AV-000081;FUNC-0021;2022-S2;3,9;Proatividade;75,4;FUNC-0015;Ótima colaboração com o time;2022;2;2022-12-31
AV-000082;FUNC-0021;2023-S1;3,8;Trabalho em Equipe;77,2;FUNC-0041;Dentro do esperado;2023;1;2023-06-30
AV-000083;FUNC-0021;2023-S2;4,1;Liderança;94,5;FUNC-0039;Em desenvolvimento;2023;2;2023-12-31
AV-000084;FUNC-0021;2024-S1;4,0;Liderança;102,7;FUNC-0026;Em desenvolvimento;2024;1;2024-06-30
AV-000085;FUNC-0021;2024-S2;3,9;Trabalho em Equipe;99,9;FUNC-0060;Em desenvolvimento;2024;2;2024-12-31
AV-000086;FUNC-0022;2022-S1;3,3;Proatividade;85,8;FUNC-0059;Sem observação registrada;2022;1;2022-06-30
AV-000087;FUNC-0022;2022-S2;3,0;Conhecimento Técnico;111,7;FUNC-0035;Em desenvolvimento;2022;2;2022-12-31
AV-000088;FUNC-0022;2023-S1;2,8;Proatividade;55,6;FUNC-0032;Sem observação registrada;2023;1;2023-06-30
AV-000089;FUNC-0022;2023-S2;2,9;Comunicação;106,1;FUNC-0031;Sem observação registrada;2023;2;2023-12-31
AV-000090;FUNC-0022;2024-S1;3,1;Liderança;105,5;FUNC-0043;Sem observação registrada;2024;1;2024-06-30
AV-000091;FUNC-0022;2024-S2;2,8;Orientação ao Cliente;98,6;FUNC-0014;Ótima colaboração com o time;2024;2;2024-12-31
AV-000092;FUNC-0023;2024-S2;3,3;Conhecimento Técnico;96,2;FUNC-0035;Sem observação registrada;2024;2;2024-12-31
AV-000093;FUNC-0025;2022-S1;4,1;Trabalho em Equipe;110,5;FUNC-0016;Dentro do esperado;2022;1;2022-06-30
AV-000094;FUNC-0025;2022-S2;4,5;Entrega de Resultados;60,3;FUNC-0026;Sem observação registrada;2022;2;2022-12-31
AV-000095;FUNC-0025;2023-S1;4,1;Conhecimento Técnico;97,4;FUNC-0041;Entrega consistente;2023;1;2023-06-30
AV-000096;FUNC-0025;2023-S2;5,0;Entrega de Resultados;92,7;FUNC-0023;Dentro do esperado;2023;2;2023-12-31
AV-000097;FUNC-0025;2024-S1;4,2;Orientação ao Cliente;101,8;FUNC-0044;Precisa evoluir em gestão do tempo;2024;1;2024-06-30
AV-000098;FUNC-0025;2024-S2;4,1;Liderança;104,4;FUNC-0006;Dentro do esperado;2024;2;2024-12-31
AV-000099;FUNC-0026;2022-S1;3,6;Proatividade;79,0;FUNC-0048;Ótima colaboração com o time;2022;1;2022-06-30
AV-000100;FUNC-0026;2022-S2;3,5;Comunicação;102,0;FUNC-0030;Em desenvolvimento;2022;2;2022-12-31
AV-000101;FUNC-0026;2023-S1;3,4;Entrega de Resultados;77,8;FUNC-0018;Ótima colaboração com o time;2023;1;2023-06-30
AV-000102;FUNC-0026;2023-S2;3,3;Conhecimento Técnico;109,2;FUNC-0036;Superou expectativas;2023;2;2023-12-31
AV-000103;FUNC-0026;2024-S1;3,6;Trabalho em Equipe;69,9;FUNC-0034;Sem observação registrada;2024;1;2024-06-30
AV-000104;FUNC-0026;2024-S2;3,1;Conhecimento Técnico;124,8;FUNC-0047;Superou expectativas;2024;2;2024-12-31
AV-000105;FUNC-0029;2023-S2;4,7;Trabalho em Equipe;96,1;FUNC-0035;Superou expectativas;2023;2;2023-12-31
AV-000106;FUNC-0029;2024-S1;4,7;Entrega de Resultados;51,8;FUNC-0022;Superou expectativas;2024;1;2024-06-30
AV-000107;FUNC-0029;2024-S2;4,4;Comunicação;87,7;FUNC-0032;Sem observação registrada;2024;2;2024-12-31
AV-000109;FUNC-0032;2022-S1;3,3;Orientação ao Cliente;108,3;FUNC-0034;Sem observação registrada;2022;1;2022-06-30
AV-000110;FUNC-0032;2022-S2;3,6;Entrega de Resultados;96,8;FUNC-0009;Entrega consistente;2022;2;2022-12-31
AV-000111;FUNC-0032;2023-S1;3,2;Conhecimento Técnico;118,7;FUNC-0052;Sem observação registrada;2023;1;2023-06-30
AV-000112;FUNC-0032;2023-S2;3,0;Comunicação;112,6;FUNC-0043;Dentro do esperado;2023;2;2023-12-31
AV-000113;FUNC-0035;2022-S1;3,0;Proatividade;72,5;FUNC-0009;Superou expectativas;2022;1;2022-06-30
AV-000114;FUNC-0035;2022-S2;2,3;Entrega de Resultados;94,9;FUNC-0004;Precisa evoluir em gestão do tempo;2022;2;2022-12-31
AV-000115;FUNC-0035;2023-S1;2,8;Entrega de Resultados;98,7;FUNC-0037;Entrega consistente;2023;1;2023-06-30
AV-000116;FUNC-0035;2023-S2;2,6;Liderança;82,7;FUNC-0021;Em desenvolvimento;2023;2;2023-12-31
AV-000117;FUNC-0035;2024-S1;2,8;Liderança;113,2;FUNC-0060;Superou expectativas;2024;1;2024-06-30
AV-000118;FUNC-0035;2024-S2;2,9;Proatividade;60,8;FUNC-0036;Entrega consistente;2024;2;2024-12-31
AV-000119;FUNC-0036;2024-S1;4,6;Entrega de Resultados;113,1;FUNC-0060;Ótima colaboração com o time;2024;1;2024-06-30
AV-000120;FUNC-0036;2024-S2;4,6;Comunicação;60,9;FUNC-0030;Sem observação registrada;2024;2;2024-12-31
AV-000121;FUNC-0037;2022-S1;3,3;Liderança;106,9;FUNC-0027;Superou expectativas;2022;1;2022-06-30
AV-000122;FUNC-0037;2022-S2;3,1;Trabalho em Equipe;93,2;FUNC-0039;Sem observação registrada;2022;2;2022-12-31
AV-000123;FUNC-0037;2023-S1;3,4;Proatividade;123,5;FUNC-0020;Ótima colaboração com o time;2023;1;2023-06-30
AV-000124;FUNC-0037;2023-S2;3,4;Comunicação;95,6;FUNC-0006;Ótima colaboração com o time;2023;2;2023-12-31
AV-000126;FUNC-0037;2024-S2;3,0;Entrega de Resultados;78,8;FUNC-0052;Sem observação registrada;2024;2;2024-12-31
AV-000127;FUNC-0038;2024-S1;3,7;Trabalho em Equipe;83,1;FUNC-0006;Em desenvolvimento;2024;1;2024-06-30
AV-000128;FUNC-0038;2024-S2;4,0;Conhecimento Técnico;66,6;FUNC-0046;Precisa evoluir em gestão do tempo;2024;2;2024-12-31
AV-000129;FUNC-0039;2022-S1;3,8;Orientação ao Cliente;106,6;FUNC-0003;Superou expectativas;2022;1;2022-06-30
AV-000130;FUNC-0039;2022-S2;3,7;Liderança;86,7;FUNC-0007;Entrega consistente;2022;2;2022-12-31
AV-000131;FUNC-0039;2023-S1;3,4;Comunicação;116,9;FUNC-0040;Entrega consistente;2023;1;2023-06-30
AV-000132;FUNC-0039;2023-S2;3,8;Proatividade;90,3;FUNC-0007;Ótima colaboração com o time;2023;2;2023-12-31
AV-000133;FUNC-0039;2024-S1;3,4;Conhecimento Técnico;107,9;FUNC-0059;Ótima colaboração com o time;2024;1;2024-06-30
AV-000134;FUNC-0039;2024-S2;3,6;Liderança;85,8;FUNC-0047;Sem observação registrada;2024;2;2024-12-31
AV-000135;FUNC-0040;2022-S2;5,0;Conhecimento Técnico;89,1;FUNC-0010;Sem observação registrada;2022;2;2022-12-31
AV-000136;FUNC-0040;2023-S1;5,0;Orientação ao Cliente;82,3;FUNC-0022;Dentro do esperado;2023;1;2023-06-30
AV-000137;FUNC-0040;2023-S2;5,0;Entrega de Resultados;100,1;FUNC-0002;Precisa evoluir em gestão do tempo;2023;2;2023-12-31
AV-000138;FUNC-0040;2024-S1;5,0;Orientação ao Cliente;128,7;FUNC-0020;Entrega consistente;2024;1;2024-06-30
AV-000139;FUNC-0040;2024-S2;5,0;Trabalho em Equipe;108,9;FUNC-0016;Ótima colaboração com o time;2024;2;2024-12-31
AV-000140;FUNC-0041;2023-S2;3,7;Trabalho em Equipe;77,8;FUNC-0028;Ótima colaboração com o time;2023;2;2023-12-31
AV-000141;FUNC-0041;2024-S1;3,8;Entrega de Resultados;105,9;FUNC-0024;Ótima colaboração com o time;2024;1;2024-06-30
AV-000142;FUNC-0041;2024-S2;3,8;Trabalho em Equipe;117,0;FUNC-0007;Entrega consistente;2024;2;2024-12-31
AV-000143;FUNC-0042;2024-S2;4,5;Conhecimento Técnico;106,1;FUNC-0050;Superou expectativas;2024;2;2024-12-31
AV-000144;FUNC-0044;2022-S1;2,9;Orientação ao Cliente;98,6;FUNC-0014;Precisa evoluir em gestão do tempo;2022;1;2022-06-30
AV-000145;FUNC-0044;2022-S2;2,5;Trabalho em Equipe;84,1;FUNC-0001;Em desenvolvimento;2022;2;2022-12-31
AV-000146;FUNC-0044;2023-S1;2,4;Conhecimento Técnico;122,0;FUNC-0005;Dentro do esperado;2023;1;2023-06-30
AV-000147;FUNC-0044;2023-S2;2,7;Trabalho em Equipe;144,4;FUNC-0058;Precisa evoluir em gestão do tempo;2023;2;2023-12-31
AV-000148;FUNC-0044;2024-S1;2,7;Liderança;116,6;FUNC-0058;Sem observação registrada;2024;1;2024-06-30
AV-000149;FUNC-0044;2024-S2;2,2;Trabalho em Equipe;86,6;FUNC-0013;Sem observação registrada;2024;2;2024-12-31
AV-000150;FUNC-0045;2022-S1;2,7;Entrega de Resultados;73,1;FUNC-0048;Sem observação registrada;2022;1;2022-06-30
AV-000151;FUNC-0045;2022-S2;2,8;Orientação ao Cliente;101,5;FUNC-0024;Ótima colaboração com o time;2022;2;2022-12-31
AV-000152;FUNC-0045;2023-S1;3,1;Orientação ao Cliente;95,2;FUNC-0051;Sem observação registrada;2023;1;2023-06-30
AV-000153;FUNC-0045;2023-S2;2,9;Trabalho em Equipe;96,1;FUNC-0009;Superou expectativas;2023;2;2023-12-31
AV-000154;FUNC-0045;2024-S1;3,5;Conhecimento Técnico;67,9;FUNC-0057;Precisa evoluir em gestão do tempo;2024;1;2024-06-30
AV-000155;FUNC-0045;2024-S2;3,1;Orientação ao Cliente;81,9;FUNC-0001;Em desenvolvimento;2024;2;2024-12-31
AV-000156;FUNC-0047;2022-S1;3,5;Proatividade;83,3;FUNC-0018;Sem observação registrada;2022;1;2022-06-30
AV-000157;FUNC-0047;2022-S2;4,2;Proatividade;109,8;FUNC-0030;Precisa evoluir em gestão do tempo;2022;2;2022-12-31
AV-000158;FUNC-0047;2023-S1;3,3;Trabalho em Equipe;94,2;FUNC-0023;Sem observação registrada;2023;1;2023-06-30
AV-000159;FUNC-0047;2023-S2;3,6;Entrega de Resultados;94,9;FUNC-0037;Ótima colaboração com o time;2023;2;2023-12-31
AV-000160;FUNC-0047;2024-S1;4,0;Orientação ao Cliente;105,7;FUNC-0025;Precisa evoluir em gestão do tempo;2024;1;2024-06-30
AV-000161;FUNC-0048;2022-S1;3,0;Comunicação;82,3;FUNC-0010;Superou expectativas;2022;1;2022-06-30
AV-000162;FUNC-0048;2022-S2;3,2;Entrega de Resultados;112,3;FUNC-0018;Dentro do esperado;2022;2;2022-12-31
AV-000163;FUNC-0048;2023-S1;3,5;Trabalho em Equipe;91,3;FUNC-0044;Precisa evoluir em gestão do tempo;2023;1;2023-06-30
AV-000164;FUNC-0048;2023-S2;3,4;Liderança;76,6;FUNC-0005;Em desenvolvimento;2023;2;2023-12-31
AV-000165;FUNC-0048;2024-S1;3,5;Conhecimento Técnico;105,2;FUNC-0005;Dentro do esperado;2024;1;2024-06-30
AV-000166;FUNC-0048;2024-S2;3,3;Proatividade;85,5;FUNC-0021;Precisa evoluir em gestão do tempo;2024;2;2024-12-31
AV-000167;FUNC-0049;2022-S1;4,9;Conhecimento Técnico;73,1;FUNC-0047;Em desenvolvimento;2022;1;2022-06-30
AV-000168;FUNC-0049;2022-S2;5,0;Entrega de Resultados;98,4;FUNC-0036;Sem observação registrada;2022;2;2022-12-31
AV-000169;FUNC-0049;2023-S1;4,9;Trabalho em Equipe;69,5;FUNC-0008;Sem observação registrada;2023;1;2023-06-30
AV-000170;FUNC-0049;2023-S2;5,0;Entrega de Resultados;85,7;FUNC-0043;Em desenvolvimento;2023;2;2023-12-31
AV-000171;FUNC-0049;2024-S1;4,9;Liderança;94,7;FUNC-0008;Sem observação registrada;2024;1;2024-06-30
AV-000172;FUNC-0049;2024-S2;4,4;Orientação ao Cliente;93,8;FUNC-0042;Precisa evoluir em gestão do tempo;2024;2;2024-12-31
AV-000173;FUNC-0050;2022-S1;3,6;Comunicação;90,7;FUNC-0046;Superou expectativas;2022;1;2022-06-30
AV-000174;FUNC-0051;2022-S2;4,2;Conhecimento Técnico;81,3;FUNC-0057;Superou expectativas;2022;2;2022-12-31
AV-000175;FUNC-0051;2023-S1;3,9;Comunicação;69,5;FUNC-0059;Superou expectativas;2023;1;2023-06-30
AV-000176;FUNC-0052;2022-S1;3,4;Proatividade;107,2;FUNC-0003;Ótima colaboração com o time;2022;1;2022-06-30
AV-000177;FUNC-0052;2022-S2;3,3;Entrega de Resultados;91,9;FUNC-0049;Entrega consistente;2022;2;2022-12-31
AV-000178;FUNC-0052;2023-S1;3,2;Trabalho em Equipe;103,8;FUNC-0029;Sem observação registrada;2023;1;2023-06-30
AV-000179;FUNC-0052;2023-S2;3,1;Proatividade;132,7;FUNC-0023;Ótima colaboração com o time;2023;2;2023-12-31
AV-000180;FUNC-0052;2024-S1;2,8;Proatividade;85,1;FUNC-0057;Superou expectativas;2024;1;2024-06-30
AV-000181;FUNC-0052;2024-S2;3,0;Proatividade;91,9;FUNC-0003;Ótima colaboração com o time;2024;2;2024-12-31
AV-000182;FUNC-0055;2022-S1;3,5;Entrega de Resultados;81,3;FUNC-0027;Superou expectativas;2022;1;2022-06-30
AV-000183;FUNC-0055;2022-S2;4,4;Orientação ao Cliente;66,9;FUNC-0034;Precisa evoluir em gestão do tempo;2022;2;2022-12-31
AV-000184;FUNC-0055;2023-S1;3,6;Conhecimento Técnico;86,2;FUNC-0001;Precisa evoluir em gestão do tempo;2023;1;2023-06-30
AV-000185;FUNC-0055;2023-S2;3,9;Orientação ao Cliente;83,0;FUNC-0029;Ótima colaboração com o time;2023;2;2023-12-31
AV-000186;FUNC-0055;2024-S1;4,0;Proatividade;82,9;FUNC-0033;Em desenvolvimento;2024;1;2024-06-30
AV-000187;FUNC-0055;2024-S2;4,1;Orientação ao Cliente;92,5;FUNC-0025;Precisa evoluir em gestão do tempo;2024;2;2024-12-31
AV-000188;FUNC-0057;2022-S1;4,2;Entrega de Resultados;120,3;FUNC-0057;Dentro do esperado;2022;1;2022-06-30
AV-000189;FUNC-0057;2022-S2;4,1;Conhecimento Técnico;62,4;FUNC-0054;Ótima colaboração com o time;2022;2;2022-12-31
AV-000190;FUNC-0057;2023-S1;4,3;Entrega de Resultados;79,0;FUNC-0023;Superou expectativas;2023;1;2023-06-30
AV-000191;FUNC-0057;2023-S2;4,2;Conhecimento Técnico;99,7;FUNC-0054;Precisa evoluir em gestão do tempo;2023;2;2023-12-31
AV-000192;FUNC-0057;2024-S1;4,0;Conhecimento Técnico;97,4;FUNC-0022;Em desenvolvimento;2024;1;2024-06-30
AV-000193;FUNC-0057;2024-S2;4,6;Entrega de Resultados;111,8;FUNC-0015;Sem observação registrada;2024;2;2024-12-31
AV-000194;FUNC-0058;2022-S1;4,0;Entrega de Resultados;106,1;FUNC-0060;Em desenvolvimento;2022;1;2022-06-30
AV-000195;FUNC-0058;2022-S2;3,1;Trabalho em Equipe;85,1;FUNC-0037;Entrega consistente;2022;2;2022-12-31
AV-000196;FUNC-0058;2023-S1;4,0;Comunicação;79,8;FUNC-0033;Sem observação registrada;2023;1;2023-06-30
AV-000197;FUNC-0058;2023-S2;3,5;Conhecimento Técnico;103,2;FUNC-0001;Em desenvolvimento;2023;2;2023-12-31
AV-000198;FUNC-0058;2024-S1;3,9;Proatividade;129,9;FUNC-0004;Ótima colaboração com o time;2024;1;2024-06-30
AV-000199;FUNC-0058;2024-S2;3,4;Trabalho em Equipe;140,5;FUNC-0048;Entrega consistente;2024;2;2024-12-31
AV-000200;FUNC-0060;2023-S2;3,2;Entrega de Resultados;106,8;FUNC-0052;Precisa evoluir em gestão do tempo;2023;2;2023-12-31
AV-000201;FUNC-0061;2024-S2;3,7;Trabalho em Equipe;75,8;FUNC-0055;Precisa evoluir em gestão do tempo;2024;2;2024-12-31
AV-000202;FUNC-0062;2024-S2;3,7;Conhecimento Técnico;108,0;FUNC-0003;Em desenvolvimento;2024;2;2024-12-31
AV-000203;FUNC-0063;2022-S1;2,4;Comunicação;80,3;FUNC-0047;Em desenvolvimento;2022;1;2022-06-30
AV-000204;FUNC-0063;2022-S2;3,0;Proatividade;99,1;FUNC-0052;Sem observação registrada;2022;2;2022-12-31
AV-000205;FUNC-0063;2023-S1;3,2;Conhecimento Técnico;138,3;FUNC-0057;Superou expectativas;2023;1;2023-06-30
AV-000206;FUNC-0063;2023-S2;3,7;Liderança;108,5;FUNC-0012;Em desenvolvimento;2023;2;2023-12-31
AV-000207;FUNC-0063;2024-S1;3,3;Conhecimento Técnico;79,6;FUNC-0003;Superou expectativas;2024;1;2024-06-30
AV-000208;FUNC-0063;2024-S2;2,9;Proatividade;77,0;FUNC-0001;Ótima colaboração com o time;2024;2;2024-12-31
