ID_Treinamento;ID_Funcionario;Nome_Treinamento;Categoria;Carga_Horaria_h;Data_Inicio;Data_Fim;Status;Nota_Final;Modalidade;Duracao_Dias;flag_data_invalida
TR-000034;FUNC-0018;Segurança do Trabalho NR-35;Obrigatório;4;2024-09-16;2024-09-17;Concluído;6,6;Presencial;1;False
TR-000035;FUNC-0018;LGPD na Prática;Compliance;4;2024-09-25;2024-09-26;Não Concluído;;EAD;1;False
TR-000036;FUNC-0018;Onboarding Corporativo;Institucional;8;2024-02-13;2024-02-14;Concluído;7,4;Híbrido;1;False
TR-000037;FUNC-0018;Finanças para Não Financeiros;Técnico;12;2024-07-03;2024-07-04;Concluído;5,5;EAD;1;False
TR-000038;FUNC-0018;Vendas Consultivas B2B;Técnico;16;2024-04-06;2024-04-08;Concluído;5,8;Presencial;2;False
TR-000039;FUNC-0019;Programa de Desenvolvimento de Líderes;Comportamental;40;2024-10-01;2024-10-06;Concluído;6,8;Presencial;5;False
TR-000040;FUNC-0020;Excel Avançado;Técnico;8;2024-02-20;2024-02-21;Concluído;6,0;EAD;1;False
TR-000041;FUNC-0020;Programa de Desenvolvimento de Líderes;Comportamental;40;2022-09-19;2022-09-24;Concluído;5,7;Presencial;5;False
TR-000042;FUNC-0021;Finanças para Não Financeiros;Técnico;12;2017-12-16;2017-12-17;Não Concluído;;EAD;1;False
TR-000043;FUNC-0021;Inglês Corporativo;Idioma;60;2018-04-18;2018-04-25;Concluído;5,8;EAD;7;False
TR-000044;FUNC-0021;Programa de Desenvolvimento de Líderes;Comportamental;40;2020-07-30;2020-08-04;Em Andamento;;Presencial;5;False
TR-000045;FUNC-0022;Excel Avançado;Técnico;8;2024-09-20;2024-09-21;Concluído;9,8;EAD;1;False
TR-000046;FUNC-0022;Python para Análise de Dados;Técnico;40;2023-03-27;2023-04-01;Concluído;8,2;EAD;5;False
TR-000047;FUNC-0022;Onboarding Corporativo;Institucional;8;2022-06-12;2022-06-13;Não Concluído;;Híbrido;1;False
TR-000048;FUNC-0023;Gestão Ágil de Projetos;Técnico;24;2024-11-11;2024-11-14;Não Concluído;;Híbrido;3;False
TR-000049;FUNC-0026;Excel Avançado;Técnico;8;2023-04-03;2023-04-04;Concluído;7,7;EAD;1;False
TR-000050;FUNC-0028;Gestão Ágil de Projetos;Técnico;24;2024-02-09;2024-02-12;Em Andamento;;Híbrido;3;False
TR-000051;FUNC-0028;Python para Análise de Dados;Técnico;40;2020-07-25;2020-07-30;Concluído;8,3;EAD;5;False
TR-000052;FUNC-0028;Excel Avançado;Técnico;8;2020-02-02;2020-02-03;Em Andamento;;EAD;1;False
TR-000053;FUNC-0029;Programa de Desenvolvimento de Líderes;Comportamental;40;2023-08-25;2023-08-30;Concluído;9,9;Presencial;5;False
TR-000054;FUNC-0029;Inglês Corporativo;Idioma;60;2024-06-20;2024-06-27;Em Andamento;;EAD;7;False
TR-000055;FUNC-0030;Power BI do Zero ao Avançado;Técnico;20;2024-11-15;2024-11-17;Concluído;8,0;EAD;2;False
TR-000056;FUNC-0030;Vendas Consultivas B2B;Técnico;16;2024-11-02;2024-11-04;Concluído;7,8;Presencial;2;False
TR-000057;FUNC-0030;Gestão de Conflitos;Comportamental;8;2024-09-05;2024-09-06;Concluído;7,5;Presencial;1;False
TR-000058;FUNC-0030;Segurança do Trabalho NR-35;Obrigatório;4;2024-10-01;2024-10-02;Concluído;9,8;Presencial;1;False
TR-000059;FUNC-0032;Segurança do Trabalho NR-35;Obrigatório;4;2024-07-07;2024-07-08;Concluído;8,0;Presencial;1;False
TR-000060;FUNC-0032;Onboarding Corporativo;Institucional;8;2023-09-14;2023-09-15;Não Concluído;;Híbrido;1;False
TR-000061;FUNC-0033;Python para Análise de Dados;Técnico;40;2019-10-06;2019-10-11;Não Concluído;;EAD;5;False
TR-000062;FUNC-0033;Power BI do Zero ao Avançado;Técnico;20;2020-05-26;2020-05-28;Concluído;6,6;EAD;2;False
TR-000063;FUNC-0034;Inglês Corporativo;Idioma;60;2019-12-02;2019-12-09;Concluído;6,0;EAD;7;False
TR-000064;FUNC-0034;Finanças para Não Financeiros;Técnico;12;2022-10-05;2022-10-06;Concluído;8,2;EAD;1;False
TR-000065;FUNC-0034;Comunicação Não-Violenta;Comportamental;8;2020-12-13;2020-12-14;Concluído;7,5;Presencial;1;False
TR-000066;FUNC-0035;Programa de Desenvolvimento de Líderes;Comportamental;40;2023-05-26;2023-05-31;Concluído;8,9;Presencial;5;False
TR-000067;FUNC-0036;LGPD na Prática;Compliance;4;2024-06-22;2024-06-23;Concluído;9,4;EAD;1;False
TR-000068;FUNC-0036;Python para Análise de Dados;Técnico;40;2024-09-12;2024-09-17;Concluído;6,9;EAD;5;False
TR-000069;FUNC-0036;Finanças para Não Financeiros;Técnico;12;2024-10-02;2024-10-03;Concluído;7,4;EAD;1;False
TR-000070;FUNC-0037;Inglês Corporativo;Idioma;60;2022-04-20;2022-04-27;Não Concluído;;EAD;7;False
TR-000071;FUNC-0038;Gestão de Conflitos;Comportamental;8;2024-07-27;2024-07-28;Concluído;7,7;Presencial;1;False
TR-000072;FUNC-0038;Python para Análise de Dados;Técnico;40;2024-11-17;2024-11-22;Concluído;5,6;EAD;5;False
TR-000073;FUNC-0038;LGPD na Prática;Compliance;4;2024-09-01;2024-09-02;Em Andamento;;EAD;1;False
TR-000074;FUNC-0040;Comunicação Não-Violenta;Comportamental;8;2023-01-28;2023-01-29;Concluído;6,6;Presencial;1;False
TR-000075;FUNC-0040;Design Thinking;Técnico;16;2024-11-14;2024-11-16;Concluído;8,1;Híbrido;2;False
TR-000076;FUNC-0040;Power BI do Zero ao Avançado;Técnico;20;2023-09-01;2023-09-03;Concluído;6,8;EAD;2;False
TR-000077;FUNC-0041;Power BI do Zero ao Avançado;Técnico;20;2024-08-01;2024-08-03;Concluído;6,7;EAD;2;False
TR-000078;FUNC-0041;Vendas Consultivas B2B;Técnico;16;2024-04-09;2024-04-11;Concluído;6,4;Presencial;2;False
TR-000079;FUNC-0041;Power BI do Zero ao Avançado;Técnico;20;2024-01-17;2024-01-19;Concluído;6,1;EAD;2;False
TR-000080;FUNC-0041;Onboarding Corporativo;Institucional;8;2024-06-11;2024-06-12;Concluído;5,6;Híbrido;1;False
TR-000081;FUNC-0042;Inglês Corporativo;Idioma;60;2024-10-01;2024-10-08;Em Andamento;;EAD;7;False
TR-000082;FUNC-0042;Segurança do Trabalho NR-35;Obrigatório;4;2024-10-01;2024-10-02;Concluído;9,0;Presencial;1;False
TR-000083;FUNC-0042;Inglês Corporativo;Idioma;60;2024-10-01;2024-10-08;Concluído;6,5;EAD;7;False
TR-000084;FUNC-0042;Power BI do Zero ao Avançado;Técnico;20;2024-10-01;2024-10-03;Concluído;6,2;EAD;2;False
TR-000085;FUNC-0044;Python para Análise de Dados;Técnico;40;2023-06-14;2023-06-19;Concluído;8,4;EAD;5;False
TR-000086;FUNC-0044;Programa de Desenvolvimento de Líderes;Comportamental;40;2022-11-29;2022-12-04;Concluído;8,1;Presencial;5;False
TR-000087;FUNC-0044;Gestão de Conflitos;Comportamental;8;2022-11-05;2022-11-06;Não Concluído;;Presencial;1;False
TR-000088;FUNC-0045;Excel Avançado;Técnico;8;2019-11-26;2019-11-27;Concluído;7,7;EAD;1;False
TR-000089;FUNC-0045;Power BI do Zero ao Avançado;Técnico;20;2020-10-14;2020-10-16;Concluído;5,7;EAD;2;False
TR-000090;FUNC-0046;Gestão Ágil de Projetos;Técnico;24;2019-12-27;2019-12-30;Não Concluído;;Híbrido;3;False
TR-000091;FUNC-0046;Liderança Situacional;Comportamental;16;2020-02-14;2020-02-16;Concluído;9,7;Presencial;2;False
TR-000092;FUNC-0046;Finanças para Não Financeiros;Técnico;12;2024-06-28;2024-06-29;Concluído;9,7;EAD;1;False
TR-000093;FUNC-0046;Segurança do Trabalho NR-35;Obrigatório;4;2024-09-18;2024-09-19;Concluído;7,7;Presencial;1;False
TR-000094;FUNC-0046;Comunicação Não-Violenta;Comportamental;8;2021-07-14;2021-07-15;Concluído;5,9;Presencial;1;False
TR-000095;FUNC-0047;Inglês Corporativo;Idioma;60;2023-03-11;2023-03-18;Em Andamento;;EAD;7;False
TR-000096;FUNC-0049;Design Thinking;Técnico;16;2024-03-15;2024-03-17;Concluído;7,9;Híbrido;2;False
TR-000097;FUNC-0049;Gestão de Conflitos;Comportamental;8;2024-06-02;2024-06-03;Concluído;7,1;Presencial;1;False
TR-000098;FUNC-0049;LGPD na Prática;Compliance;4;2022-04-15;2022-04-16;Em Andamento;;EAD;1;False
TR-000099;FUNC-0050;Comunicação Não-Violenta;Comportamental;8;2022-06-24;2022-06-25;Concluído;8,0;Presencial;1;False
TR-000100;FUNC-0050;Segurança do Trabalho NR-35;Obrigatório;4;2023-12-26;2023-12-27;Concluído;9,5;Presencial;1;False
TR-000101;FUNC-0051;Power BI do Zero ao Avançado;Técnico;20;2024-09-15;2024-09-17;Não Concluído;;EAD;2;False
TR-000102;FUNC-0052;Excel Avançado;Técnico;8;2021-01-20;2021-01-21;Em Andamento;;EAD;1;False
TR-000103;FUNC-0053;Gestão de Conflitos;Comportamental;8;2022-04-07;2022-04-08;Não Concluído;;Presencial;1;False
TR-000104;FUNC-0053;Programa de Desenvolvimento de Líderes;Comportamental;40;2022-05-21;2022-05-26;Não Concluído;;Presencial;5;False
TR-000105;FUNC-0054;Inglês Corporativo;Idioma;60;2023-12-30;2024-01-06;Concluído;9,0;EAD;7;False
TR-000106;FUNC-0054;LGPD na Prática;Compliance;4;2022-04-27;2022-04-28;Não Concluído;;EAD;1;False
TR-000107;FUNC-0054;Comunicação Não-Violenta;Comportamental;8;2021-05-23;2021-05-24;Não Concluído;;Presencial;1;False
TR-000108;FUNC-0055;Liderança Situacional;Comportamental;16;2024-05-21;2024-05-23;Concluído;9,7;Presencial;2;False
TR-000109;FUNC-0055;Python para Análise de Dados;Técnico;40;2019-11-01;2019-11-06;Concluído;7,0;EAD;5;False
TR-000110;FUNC-0057;Inglês Corporativo;Idioma;60;2020-07-08;2020-07-15;Concluído;6,2;EAD;7;False
TR-000111;FUNC-0057;Finanças para Não Financeiros;Técnico;12;2020-01-22;2020-01-23;Concluído;9,5;EAD;1;False
TR-000112;FUNC-0059;Segurança do Trabalho NR-35;Obrigatório;4;2021-10-18;2021-10-19;Não Concluído;;Presencial;1;False
TR-000113;FUNC-0059;Comunicação Não-Violenta;Comportamental;8;2021-07-25;2021-07-26;Não Concluído;;Presencial;1;False
TR-000114;FUNC-0059;Inglês Corporativo;Idioma;60;2021-07-14;2021-07-21;Concluído;9,2;EAD;7;False
TR-000115;FUNC-0060;Excel Avançado;Técnico;8;2024-10-28;2024-10-29;Concluído;8,7;EAD;1;False
TR-000116;FUNC-0060;Onboarding Corporativo;Institucional;8;2023-11-25;2023-11-26;Concluído;7,9;Híbrido;1;False
TR-000117;FUNC-0060;Python para Análise de Dados;Técnico;40;2024-04-29;2024-05-04;Concluído;6,0;EAD;5;False
TR-000118;FUNC-0061;Inglês Corporativo;Idioma;60;2024-10-10;2024-10-17;Em Andamento;;EAD;7;False
TR-000119;FUNC-0062;Vendas Consultivas B2B;Técnico;16;2024-10-30;2024-11-01;Em Andamento;;Presencial;2;False
TR-000120;FUNC-0062;Design Thinking;Técnico;16;2024-10-09;2024-10-11;Concluído;7,8;Híbrido;2;False
TR-000121;FUNC-0062;Python para Análise de Dados;Técnico;40;2024-11-18;2024-11-23;Concluído;9,9;EAD;5;False
TR-000122;FUNC-0063;Programa de Desenvolvimento de Líderes;Comportamental;40;2022-11-14;2022-11-19;Concluído;7,6;Presencial;5;False
TR-000123;FUNC-0063;Gestão de Conflitos;Comportamental;8;2023-01-23;2023-01-24;Concluído;8,6;Presencial;1;False
TR-000124;FUNC-0063;Design Thinking;Técnico;16;2023-07-10;2023-07-12;Concluído;7,3;Híbrido;2;False
TR-000125;FUNC-0063;Programa de Desenvolvimento de Líderes;Comportamental;40;2023-07-02;2023-07-07;Concluído;6,3;Presencial;5;False
TR-000126;FUNC-0065;Onboarding Corporativo;Institucional;8;2022-10-25;2022-10-26;Concluído;9,5;Híbrido;1;False
TR-000127;FUNC-0065;Python para Análise de Dados;Técnico;40;2020-03-20;2020-03-25;Não Concluído;;EAD;5;False
TR-000128;FUNC-0065;Onboarding Corporativo;Institucional;8;2023-06-25;2023-06-26;Concluído;10,0;Híbrido;1;False
TR-000129;FUNC-0066;Inglês Corporativo;Idioma;60;2022-04-19;2022-04-26;Concluído;9,8;EAD;7;False
TR-000130;FUNC-0066;Finanças para Não Financeiros;Técnico;12;2024-10-21;2024-10-22;Concluído;8,4;EAD;1;False
TR-000131;FUNC-0066;Design Thinking;Técnico;16;2023-11-17;2023-11-19;Concluído;8,0;Híbrido;2;False
TR-000132;FUNC-0067;Liderança Situacional;Comportamental;16;2023-04-12;2023-04-14;Concluído;7,8;Presencial;2;False
TR-000133;FUNC-0067;Inglês Corporativo;Idioma;60;2023-07-01;2023-07-08;Concluído;6,8;EAD;7;False
TR-000134;FUNC-0067;Power BI do Zero ao Avançado;Técnico;20;2023-03-20;2023-03-22;Concluído;9,9;EAD;2;False
TR-000135;FUNC-0068;Liderança Situacional;Comportamental;16;2020-06-17;2020-06-19;Concluído;6,3;Presencial;2;False
TR-000136;FUNC-0068;Python para Análise de Dados;Técnico;40;2022-02-24;2022-03-01;Concluído;8,8;EAD;5;False
TR-000137;FUNC-0068;Power BI do Zero ao Avançado;Técnico;20;2020-09-29;2020-10-01;Concluído;6,5;EAD;2;False
TR-000138;FUNC-0069;Finanças para Não Financeiros;Técnico;12;2019-01-05;2019-01-06;Não Concluído;;EAD;1;False
TR-000139;FUNC-0069;Segurança do Trabalho NR-35;Obrigatório;4;2018-12-12;2018-12-13;Concluído;9,9;Presencial;1;False
TR-000140;FUNC-0070;Liderança Situacional;Comportamental;16;2022-09-21;2022-09-23;Não Concluído;;Presencial;2;False
TR-000141;FUNC-0070;Inglês Corporativo;Idioma;60;2023-10-16;2023-10-23;Concluído;7,1;EAD;7;False
TR-000142;FUNC-0070;Gestão Ágil de Projetos;Técnico;24;2024-09-22;2024-09-25;Em Andamento;;Híbrido;3;False
TR-000143;FUNC-0070;Finanças para Não Financeiros;Técnico;12;2021-03-15;2021-03-16;Concluído;9,2;EAD;1;False
TR-000144;FUNC-0070;Gestão de Conflitos;Comportamental;8;2024-01-04;2024-01-05;Concluído;6,2;Presencial;1;False
TR-000145;FUNC-0071;Design Thinking;Técnico;16;2024-11-22;2024-11-24;Em Andamento;;Híbrido;2;False
TR-000146;FUNC-0071;Design Thinking;Técnico;16;2024-11-08;2024-11-10;Concluído;6,3;Híbrido;2;False
TR-000147;FUNC-0071;Power BI do Zero ao Avançado;Técnico;20;2024-10-09;2024-10-11;Concluído;5,8;EAD;2;False
TR-000148;FUNC-0073;Vendas Consultivas B2B;Técnico;16;2023-04-02;2023-04-04;Concluído;8,2;Presencial;2;False
TR-000149;FUNC-0073;Gestão Ágil de Projetos;Técnico;24;2023-04-08;2023-04-11;Concluído;6,2;Híbrido;3;False
TR-000150;FUNC-0074;Gestão de Conflitos;Comportamental;8;2020-12-02;2020-12-03;Concluído;5,5;Presencial;1;False
TR-000151;FUNC-0074;LGPD na Prática;Compliance;4;2021-06-16;2021-06-17;Não Concluído;;EAD;1;False
TR-000152;FUNC-0074;Inglês Corporativo;Idioma;60;2019-06-03;2019-06-10;Concluído;8,4;EAD;7;False
TR-000153;FUNC-0075;Finanças para Não Financeiros;Técnico;12;2024-09-25;2024-09-26;Em Andamento;;EAD;1;False
TR-000154;FUNC-0075;Onboarding Corporativo;Institucional;8;2024-10-29;2024-10-30;Em Andamento;;Híbrido;1;False
TR-000155;FUNC-0075;Vendas Consultivas B2B;Técnico;16;2024-11-24;2024-11-26;Concluído;6,8;Presencial;2;False
TR-000156;FUNC-0075;Excel Avançado;Técnico;8;2024-09-19;2024-09-20;Em Andamento;;EAD;1;False
TR-000157;FUNC-0076;Gestão Ágil de Projetos;Técnico;24;2017-07-21;2017-07-24;Concluído;9,8;Híbrido;3;False
TR-000158;FUNC-0076;Gestão Ágil de Projetos;Técnico;24;2021-06-10;2021-06-13;Concluído;6,5;Híbrido;3;False
TR-000159;FUNC-0076;Liderança Situacional;Comportamental;16;2017-03-15;2017-03-17;Concluído;7,7;Presencial;2;False
TR-000160;FUNC-0077;Python para Análise de Dados;Técnico;40;2024-10-01;2024-10-06;Concluído;9,5;EAD;5;False
TR-000161;FUNC-0077;Inglês Corporativo;Idioma;60;2024-10-01;2024-10-08;Não Concluído;;EAD;7;False
TR-000162;FUNC-0077;Inglês Corporativo;Idioma;60;2024-10-01;2024-10-08;Concluído;6,4;EAD;7;False
TR-000163;FUNC-0077;Finanças para Não Financeiros;Técnico;12;2024-10-01;2024-10-02;Concluído;8,2;EAD;1;False
TR-000164;FUNC-0078;Gestão de Conflitos;Comportamental;8;2024-01-24;2024-01-25;Não Concluído;;Presencial;1;False
TR-000165;FUNC-0078;Segurança do Trabalho NR-35;Obrigatório;4;2024-03-23;2024-03-24;Concluído;8,0;Presencial;1;False
TR-000166;FUNC-0079;Excel Avançado;Técnico;8;2024-10-27;2024-10-28;Concluído;8,8;EAD;1;False
TR-000167;FUNC-0079;Liderança Situacional;Comportamental;16;2024-11-30;2024-12-02;Concluído;9,5;Presencial;2;False
TR-000168;FUNC-0079;LGPD na Prática;Compliance;4;2024-10-10;2024-10-11;Em Andamento;;EAD;1;False
TR-000169;FUNC-0080;Programa de Desenvolvimento de Líderes;Comportamental;40;2024-07-19;2024-07-24;Concluído;7,7;Presencial;5;False
TR-000170;FUNC-0081;Design Thinking;Técnico;16;2024-10-01;2024-10-03;Concluído;8,1;Híbrido;2;False
TR-000171;FUNC-0082;Onboarding Corporativo;Institucional;8;2020-06-05;2020-06-06;Concluído;8,5;Híbrido;1;False
TR-000172;FUNC-0082;Inglês Corporativo;Idioma;60;2021-06-02;2021-06-09;Concluído;6,2;EAD;7;False
TR-000173;FUNC-0082;Python para Análise de Dados;Técnico;40;2022-06-18;2022-06-23;Não Concluído;;EAD;5;False
TR-000174;FUNC-0082;Gestão Ágil de Projetos;Técnico;24;2019-08-29;2019-09-01;Concluído;8,6;Híbrido;3;False
TR-000175;FUNC-0082;Gestão de Conflitos;Comportamental;8;2020-01-13;2020-01-14;Concluído;9,2;Presencial;1;False
TR-000176;FUNC-0083;Gestão de Conflitos;Comportamental;8;2019-02-05;2019-02-06;Concluído;9,5;Presencial;1;False
TR-000177;FUNC-0083;Segurança do Trabalho NR-35;Obrigatório;4;2021-10-28;2021-10-29;Concluído;7,8;Presencial;1;False
TR-000178;FUNC-0083;Gestão de Conflitos;Comportamental;8;2021-02-15;2021-02-16;Concluído;6,9;Presencial;1;False
TR-000179;FUNC-0083;Onboarding Corporativo;Institucional;8;2018-12-15;2018-12-16;Não Concluído;;Híbrido;1;False
TR-000180;FUNC-0084;Programa de Desenvolvimento de Líderes;Comportamental;40;2024-06-29;2024-07-04;Concluído;7,2;Presencial;5;False
TR-000181;FUNC-0084;Excel Avançado;Técnico;8;2024-11-26;2024-11-27;Não Concluído;;EAD;1;False
TR-000182;FUNC-0084;Programa de Desenvolvimento de Líderes;Comportamental;40;2024-11-10;2024-11-15;Concluído;9,8;Presencial;5;False
TR-000183;FUNC-0085;Segurança do Trabalho NR-35;Obrigatório;4;2022-04-28;2022-04-29;Não Concluído;;Presencial;1;False
TR-000184;FUNC-0085;Comunicação Não-Violenta;Comportamental;8;2021-12-22;2021-12-23;Concluído;5,8;Presencial;1;False
TR-000185;FUNC-0085;Finanças para Não Financeiros;Técnico;12;2019-09-25;2019-09-26;Concluído;9,6;EAD;1;False
TR-000186;FUNC-0085;Onboarding Corporativo;Institucional;8;2022-01-05;2022-01-06;Concluído;7,6;Híbrido;1;False
TR-000187;FUNC-0085;Inglês Corporativo;Idioma;60;2024-01-05;2024-01-12;Não Concluído;;EAD;7;False
TR-000188;FUNC-0086;Programa de Desenvolvimento de Líderes;Comportamental;40;2020-09-19;2020-09-24;Concluído;7,7;Presencial;5;False
TR-000189;FUNC-0086;Design Thinking;Técnico;16;2019-10-16;2019-10-18;Em Andamento;;Híbrido;2;False
TR-000190;FUNC-0086;Python para Análise de Dados;Técnico;40;2020-05-20;2020-05-25;Concluído;8,2;EAD;5;False
TR-000191;FUNC-0087;Python para Análise de Dados;Técnico;40;2023-04-01;2023-04-06;Concluído;7,9;EAD;5;False
TR-000192;FUNC-0088;Gestão de Conflitos;Comportamental;8;2024-04-28;2024-04-29;Em Andamento;;Presencial;1;False
TR-000193;FUNC-0088;Onboarding Corporativo;Institucional;8;2021-11-19;2021-11-20;Concluído;8,2;Híbrido;1;False
TR-000194;FUNC-0088;Comunicação Não-Violenta;Comportamental;8;2023-11-01;2023-11-02;Concluído;7,6;Presencial;1;False
TR-000195;FUNC-0089;Excel Avançado;Técnico;8;2024-08-27;2024-08-28;Em Andamento;;EAD;1;False
TR-000196;FUNC-0090;Design Thinking;Técnico;16;2024-11-02;2024-11-04;Concluído;8,8;Híbrido;2;False
TR-000197;FUNC-0091;Excel Avançado;Técnico;8;2024-05-15;2024-05-16;Concluído;8,5;EAD;1;False
TR-000198;FUNC-0091;Vendas Consultivas B2B;Técnico;16;2023-06-09;2023-06-11;Concluído;5,6;Presencial;2;False
TR-000199;FUNC-0092;Design Thinking;Técnico;16;2022-08-18;2022-08-20;Concluído;10,0;Híbrido;2;False
TR-000200;FUNC-0092;Python para Análise de Dados;Técnico;40;2023-01-16;2023-01-21;Concluído;8,4;EAD;5;False
TR-000201;FUNC-0092;Liderança Situacional;Comportamental;16;2024-05-28;2024-05-30;Não Concluído;;Presencial;2;False
TR-000202;FUNC-0092;LGPD na Prática;Compliance;4;2022-07-08;2022-07-09;Não Concluído;;EAD;1;False
TR-000203;FUNC-0092;Liderança Situacional;Comportamental;16;2020-12-30;2021-01-01;Concluído;8,2;Presencial;2;False
TR-000204;FUNC-0093;Comunicação Não-Violenta;Comportamental;8;2017-09-14;2017-09-15;Concluído;9,6;Presencial;1;False
TR-000205;FUNC-0093;Excel Avançado;Técnico;8;2021-01-27;2021-01-28;Não Concluído;;EAD;1;False
TR-000206;FUNC-0094;Vendas Consultivas B2B;Técnico;16;2024-08-09;2024-08-11;Concluído;9,4;Presencial;2;False
TR-000207;FUNC-0094;Liderança Situacional;Comportamental;16;2024-09-07;2024-09-09;Concluído;7,9;Presencial;2;False
TR-000208;FUNC-0096;Segurança do Trabalho NR-35;Obrigatório;4;2023-08-24;2023-08-25;Concluído;7,8;Presencial;1;False
TR-000209;FUNC-0096;Design Thinking;Técnico;16;2024-05-27;2024-05-29;Concluído;9,7;Híbrido;2;False
TR-000210;FUNC-0096;Onboarding Corporativo;Institucional;8;2023-11-19;2023-11-20;Não Concluído;;Híbrido;1;False
TR-000211;FUNC-0097;Programa de Desenvolvimento de Líderes;Comportamental;40;2022-11-07;2022-11-12;Concluído;9,3;Presencial;5;False
TR-000212;FUNC-0097;LGPD na Prática;Compliance;4;2024-11-19;2024-11-20;Concluído;9,6;EAD;1;False
TR-000213;FUNC-0097;Programa de Desenvolvimento de Líderes;Comportamental;40;2016-10-13;2016-10-18;Concluído;8,7;Presencial;5;False
TR-000214;FUNC-0099;Inglês Corporativo;Idioma;60;2023-03-05;2023-03-12;Concluído;8,6;EAD;7;False
